id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,相传我国最早的儿科专著是<br />A 《幼幼新书》<br />B 《幼科发挥》<br />C 《幼幼集成》<br />D 《颅囟经》<br />E 《小儿药证直诀》<br />,D,
2,将小儿体质特点概括为“脏腑柔弱，易虚易实，易寒易热”的古代医家是<br />A 孙思邈<br />B 钱乙<br />C 董汲<br />D 陈文中<br />E 曾世荣<br />,B,
3,不属于万全“育婴四法”内容的一项是<br />A 蓐养<br />B 鞠养<br />C 胎养<br />D 保养<br />E 预养<br />,D,
4,新生儿期是指出生后脐带结扎开始至满<br />A 24天<br />B 28天<br />C 30天<br />D 42天<br />E 60天<br />,B,
5,6周岁小儿按公式计算，体重应为<br />A 15kg<br />B 16kg<br />C 17kg<br />D 18kg<br />E 20kg<br />,E,
6,按公式计算，10岁小儿的身高应为<br />A 120cm<br />B 130cm<br />C 140cm<br />D 150cm<br />E 160cm<br />,C,
7,小儿脏腑娇嫩，形气未充，突出表现这一特点的脏腑是<br />A 心、肝、脾<br />B 肝、脾、肾<br />C 肺、脾、肾<br />D 肝、脾、肺<br />E 心、肝、肺<br />,C,
8,小儿纯阳之体的含义是<br />A 虚阳<br />B 有阳无阴<br />C 阳亢阴亏<br />D 阳常有余<br />E 生长发育迅速<br />,E,
9,肺系疾病成为儿科发病率最高疾病的原因是<br />A 肺常不足<br />B 肺脾气虚<br />C 肺肾阴虚<br />D 金实不鸣<br />E 木火刑金<br />,A,
10,小儿易见呕吐、积滞、厌食等病的原因是<br />A 脾胃不和<br />B 食滞伤中<br />C 脾常不足<br />D 乳食不节<br />E 脾胃虚弱<br />,C,
11,古代医家认为诊断小儿疾病最重要的是<br />A 按诊<br />B 望诊<br />C 闻诊<br />D 问诊<br />E 切诊<br />,B,
12,面呈青色不属于<br />A 寒证<br />B 痛证<br />C 瘀证<br />D 水饮证<br />E 惊厥<br />,D,
13,解颅不表现为<br />A 头大颌缩<br />B 前囟宽大<br />C 头缝开解<br />D 眼窝凹陷<br />E 眼睑下垂<br />,D,
