id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,男，33岁。慢性右下腹痛2年，伴不规则发热，腹泻1年，2年前有过肛周脓肿。体格检查无异常。X线造影示回肠末端及升结肠节段性病变、肠腔狭窄。其最可能的诊断为<br />A.Crohn病<br />B.肠结核<br />C.结肠癌<br />D.血吸虫病<br />E.肠阿米巴病<br />A  B  C  D  E<br />,A,
2,女，47岁。反复右上腹痛3年，放射至背部，3次上消化道出血。BAO 9mmoL/h，PAO30mmol/h；钡剂造影2次，十二指肠壶腹部及胃均未发现溃疡。此患有哪种疾病的可能性最大<br />A.十二指肠壶腹后溃疡<br />B.促胃液素瘤<br />C.慢性胆囊炎<br />D.胃癌<br />E.慢性胃炎<br />A  B  C  D  E<br />,A,
3,病人胃溃疡病史10年，因上腹痛、呕吐、消瘦来医院检查，诊断为胃癌中、晚期。其可能存在的主要体征是<br />A.淋巴结肿大<br />B.腹部肿块<br />C.肝大<br />D.腹水<br />E.血栓性静脉炎<br />A  B  C  D  E<br />,B,
4,病人肝硬化病史2年，最常见的并发症是<br />A.急性上消化道出血<br />B.肝性脑病<br />C.原发性肝癌<br />D.感染<br />E.肝肾综合征<br />A  B  C  D  E<br />,A,
5,病人确诊为肝硬化，行腹水检查，腹水一般为<br />A.淡黄色漏出液<br />B.渗出液<br />C.血性腹水<br />D.漏出液与渗出液之间<br />E.腹水混浊<br />A  B  C  D  E<br />,A,
6,男，45岁。不规则发热3个月。右肋下胀痛，颈部可见蜘蛛痣，肝肋下4cm，质硬，稍触痛，肝表面可闻及血管杂音，脾肋下1.5cm；白细胞5.0×109/L，中性粒细胞0.60，AFP＜50μg/ml，sGPT60U，HBsAg(+)。最可能的诊断是<br />A.肝脓肿<br />B.肝硬化并肝癌<br />C.慢性活动性肝炎<br />D.肝炎后肝硬化<br />E.肝状核变性<br />A  B  C  D  E<br />,B,
7,男，38岁。因车祸行肝破裂修补术，肝活体组织学病理检查示假小叶形成。既往体健，1个月前B超检查肝脾未见异常。此病人可能原有何种疾病<br />A.慢性活动性肝炎<br />B.慢性迁延性肝炎<br />C.亚临床期肝癌<br />D.肝硬化<br />E.脂肪肝<br />A  B  C  D  E<br />,D,
8,肝癌患者已发生转移，其最早、最常见的转移方式是<br />A.肝外血行转移<br />B.肝内血行转移<br />C.淋巴转移<br />D.种植转移<br />E.直接蔓延<br />A  B  C  D  E<br />,B,
9,患者慢性肝炎病史6年，近1个月来病情明显加重，经检查诊断为原发性肝癌，最有效的治疗方法是<br />A.手术治疗<br />B.化疗<br />C.放射治疗<br />D.介入性治疗<br />E.生物导向治疗<br />A  B  C  D  E<br />,A,
10,患者肝区疼痛、恶心、呕吐、消瘦3个月，经检查诊断为肝癌，其特征性的体征是<br />A.进行性肝肿大<br />B.脾大<br />C.腹水<br />D.胸水<br />E.静脉曲张<br />A  B  C  D  E<br />,A,
11,病人肝硬化并发上消化道大出血1小时急诊，药物止血首选<br />A.垂体后叶素静注<br />B.西咪替丁静注<br />C.奥美拉唑静注<br />D.安络血肌注<br />E.止血敏肌注<br />A  B  C  D  E<br />,A,
12,慢性肾炎病人，肾功能正常，有大量蛋白尿，饮食治疗，蛋白摄入量每天可是<br />A.1.0g/kg<br />B.0.5g/kg<br />C.3.0g/kg<br />D.2.0g/kg<br />E.3.0～4.0g/kg<br />A  B  C  D  E<br />,A,
13,病人因慢性。肾炎，血压160/95mmHg，为控制血压，首选<br />A.贝那普利<br />B.硝苯地平<br />C.呋塞米<br />D.利血平<br />E.降压灵<br />A  B  C  D  E<br />,A,
