id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,支气管语音可见于<br />A 肺气肿<br />B 阻塞性肺不张<br />C 气胸<br />D 肺炎链球菌肺炎<br />E 支气管炎<br />,D,
2,关于肺实变的体征下列不正确的是<br />A 语颤增强<br />B 肺泡呼吸音增强<br />C 病理性支气管呼吸音<br />D 实音<br />E 支气管语音<br />,B,
3,关于支气管哮喘发作的体征，下列不正确的是<br />A 吸气延长<br />B 语颤减弱<br />C 叩诊过清音<br />D 哮鸣音<br />E 可伴有湿啰音<br />,A,
4,心尖搏动向左下移位，呈抬举样搏动见于<br />A 左心室肥大<br />B 右心室肥大<br />C 全心扩大<br />D 心包积液<br />E 肺气肿<br />,A,
5,心前区抬举样搏动见于<br />A 左心室肥大<br />B 右心室肥大<br />C 心包肿癌<br />D 心包积液<br />E 肺心病<br />,B,
6,心前区隆起可见于<br />A 右肺结核<br />B 右侧气胸<br />C 房间隔缺损<br />D 原发性高血压<br />E 冠心病<br />,C,
7,剑突下搏动，吸气时加强，提示<br />A 左心室扩大<br />B 右心室肥大<br />C 肺心病<br />D 左心室肥大<br />E 冠心病<br />,C,
8,下列心脏病中，一般无震颤的是<br />A 室间隔缺损<br />B 动脉导管未闭<br />C 左房室瓣<br />D 肺动脉瓣狭窄<br />E 主动脉瓣关闭不全<br />,E,
9,梨形心脏常见于<br />A 主动脉瓣关闭不全<br />B 主动脉瓣狭窄<br />C 左房室瓣狭窄<br />D 左房室瓣关闭不全<br />E 心包积液<br />,C,
10,引起房颤最常见的原因是<br />A 冠心病<br />B 心肌病<br />C 肺心病<br />D 左房室瓣狭窄<br />E 甲状腺功能亢进性心脏病<br />,D,
11,下列最能提示心脏有器质性病变的是<br />A 震颤<br />B 心律失常<br />C 窦性心动过速<br />D 2级收缩期杂音<br />E 心音分裂<br />,A,
12,下列提示左心功能不全的是<br />A 心尖区舒张早期奔马律<br />B 心尖区舒张晚期奔马律<br />C 震颤<br />D 收缩早期喷射音<br />E 心音分裂<br />,A,
13,左房室瓣关闭不全不会出现的体征是<br />A 心尖搏动向左下移位<br />B 心尖区3级以上全收缩期粗糙的杂音<br />C P↓2亢进<br />D 第一心音亢进<br />E 心界向左下扩大<br />,D,
14,甲状腺功能亢进症所出现的杂音，其产生机制是<br />A 血流加速<br />B 瓣膜狭窄<br />C 瓣膜关闭不全<br />D 异常通道<br />E 血管腔扩大<br />,A,
15,关于杂音特征的描述，下列不正确的是<br />A 凡舒张期杂音及连续杂音均为病理性<br />B 器质性杂音常是粗糙的<br />C 3／6级和以上的收缩期杂音多为器质性杂音<br />D 凡传导广泛的杂音均考虑器质性杂音<br />E 凡不传导、局限性的杂音均为功能性<br />,E,
16,肺动脉瓣区收缩期杂音的原因一般不考虑<br />A 先天性肺动脉瓣狭窄<br />B 风湿性肺动脉瓣狭窄<br />C 房间隔缺损<br />D 左房室瓣狭窄继发肺动脉高压<br />E 功能性杂音<br />,B,
17,心包摩擦音与胸膜摩擦音的鉴别要点<br />A 音响<br />B 音调<br />C 持续时间<br />D 屏住呼吸后是否存在<br />E 出现部位<br />,D,
18,主动脉瓣关闭不全，一般不出现于<br />A 脉压增大<br />B A↓2亢进<br />C 主动脉瓣听诊区舒张期叹息样杂音<br />D 奥-弗杂音<br />E 靴形心<br />,B,
19,诊断左房室瓣狭窄最具特征的体征是<br />A 心尖区舒张中晚期隆隆样杂音，呈递增型<br />B 第一心音亢进<br />C 左心房肥大<br />D P↓2亢进<br />E 心尖搏动向左移位<br />,A,
20,下列可出现奇脉的是<br />A 主动脉瓣关闭不全<br />B 左房室瓣狭窄<br />C 扩张型心肌病<br />D 左心功能不全<br />E 重症哮喘<br />,E,
21,交替脉提不<br />A 心律失常<br />B 心包积液<br />C 左心功能不全<br />D 脉压增大<br />E 脉压下降<br />,C,
22,舟状腹常见于<br />A 腹水<br />B 胃扩张<br />C 恶病质<br />D 早期妊娠<br />E 气腹<br />,C,
