id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,“属心而络于胞中”的经脉是<br />A 冲脉<br />B 胞脉<br />C 任脉<br />D 督脉<br />E 带脉<br />,B,
2,下列哪项不是“天癸”臻熟的条件<br />A 肾气充盛<br />B 脾气健旺<br />C 年已18岁<br />D 精血充实<br />E 肾阴充盛<br />,C,
3,与月经产生没有直接关系的脏腑是<br />A 肾<br />B 肺<br />C 胆<br />D 脾<br />E 胃<br />,C,
4,妊娠足月，胎位下移，腰腹阵痛，有便意或“见红”者，是<br />A 临产<br />B 试胎<br />C 弄胎<br />D 分娩<br />E 以上均非<br />,A,
5,下列哪项不是直接导致冲任损伤的因素<br />A 邪毒感染<br />B 郁怒悲伤<br />C 房劳多产<br />D 跌扑闪挫<br />E 寒湿之邪<br />,B,
6,下列哪项不是月经后期虚寒证的主症<br />A 经期延后，量少色淡、质清稀<br />B 小腹空痛，心悸失眠<br />C 腰 无力<br />D 小便清长，大便稀溏<br />E 脉沉迟或细弱无力<br />,B,
7,月经先后无定期的主要发病机理是<br />A 寒凝血瘀，冲任不畅<br />B 气虚统摄无权<br />C 水亏火旺，热扰冲任<br />D 痰阻经脉，血行不畅<br />E 气血失于调节，血海蓄溢失常<br />,E,
8,下列哪项不是经期延长阴虚血热证的主症<br />A 月经持续8、9日，量少、色红、质稠<br />B 小腹疼痛拒按<br />C 咽干口燥<br />D 手足心热<br />E 舌红少苔，脉细数<br />,B,
9,治疗痛经气滞血瘀证，应首选<br />A 血府逐瘀汤<br />B 膈下逐瘀汤<br />C 少腹逐瘀汤<br />D 身痛逐瘀汤<br />E 通窍活血汤<br />,B,
10,下列哪项不是清热调血汤的组成药物<br />A 当归、川芎、白芍、生地<br />B 元胡、香附<br />C 黄柏<br />D 桃仁、红花、莪术、丹皮<br />E 黄连<br />,C,
11,崩漏的治疗原则是<br />A 塞流与澄源结合<br />B 澄源与复旧结合<br />C 复旧与塞流结合<br />D 固本与澄源结合<br />E 急则治标，缓则治本<br />,E,
12,清热固经汤适合于下列哪型崩漏<br />A 虚热<br />B 实热<br />C 肾阴虚<br />D 血瘀<br />E 脾虚<br />,B,
13,带下病的主要发病机理是<br />A 外感湿邪，损及任、带，约固无力<br />B 肾气不足，封藏失职，阴液滑脱而下<br />C 湿邪影响任、带，任脉不固，带脉失约<br />D 脾虚生湿，流注下焦，伤及任、带<br />E 肝经湿热，流注下焦，伤及任、带<br />,C,
14,下列除哪项外，均是妊娠禁药<br />A 峻下剂<br />B 破血剂<br />C 逐瘀剂<br />D 和血剂<br />E 有毒剂<br />,D,
15,产后“三病”是指<br />A 呕吐、泄泻、盗汗<br />B 尿失禁、缺乳、大便难<br />C 血晕、发热、痉证<br />D 病痉、病郁冒、大便难<br />E 腹痛、恶露不下、发热<br />,D,
16,患者，女，28岁。近2年月经量渐减，现点滴即止，胸闷呕恶，带下量多，形体肥胖，舌淡苔白腻，脉滑。其诊断是<br />A 月经过少血瘀证<br />B 带下病脾虚证<br />C 月经过少痰湿证<br />D 月经过少阴虚证<br />E 月经过少血虚证<br />,C,
17,患者，女，22岁。月经初潮16岁，痛经6年，每于经期第1天出现小腹冷痛，喜温喜按，经量少、色黯淡，腰腿 软，小便清长，舌苔白润，脉沉迟。治疗应首选<br />A 温经汤(《妇人大全良方》)<br />B 圣愈汤<br />C 调肝汤<br />D 温经汤(《金匮要略》)<br />E 金匮肾气丸<br />,A,
