id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,设计制成铜人模型的是<br />A 葛洪<br />B 皇甫谧<br />C 王惟一<br />D 滑寿<br />E 徐凤<br />,C,
2,以下经脉名称错误的是<br />A 手厥阴心包经<br />B 手少阴心经<br />C 足少阳三焦经<br />D 足太阴脾经<br />E 足太阳膀胱经<br />,C,
3,手足三阳经在四肢部的分布规律一般是<br />A 阳明在前，少阳在中，太阳在后<br />B 阳明在前，太阳在中，少阳在后<br />C 太阳在前，阳明在中，少阳在后<br />D 太阳在前，少阳在中，阳明在后<br />E 少阳在前，阳明在中，太阳在后<br />,A,
4,足三阴经在足内踝上8寸以下的排列是<br />A 厥阴在前，少阴在中，太阳在后<br />B 少阴在前，厥阴在中，太阴在后<br />C 太阴在前，少阴在中，厥阴在后<br />D 厥阴在前，太阴在中，少阴在后<br />E 少阴在前，太阴在中，厥阴在后<br />,D,
5,分布于胸腹第二侧线的经脉是<br />A 足太阴脾经<br />B 足少阴肾经<br />C 足阳明胃经<br />D 足厥阴肝经<br />E 足少阳胆经<br />,C,
6,十二经脉的流注次序中，足太阴脾经流注<br />A 足阳明胃经<br />B 手太阴肺经<br />C 手少阴心经<br />D 手太阳小肠经<br />E 足太阳膀胱经<br />,C,
7,以下不属于奇经八脉的是<br />A 任脉<br />B 脾之大络<br />C 督脉<br />D 阴阳跷脉<br />E 阴阳维脉<br />,B,
8,督脉的生理作用主要是<br />A 调节阳经经气<br />B 调节督脉、任脉<br />C 调节冲、任、督、带<br />D 总调奇经八脉<br />E 总调冲、任、督脉<br />,A,
9,在奇经八脉中，司眼睑开合的是<br />A 阴维脉<br />B 阳维脉<br />C 冲脉<br />D 阴跷脉<br />E 阳跷脉<br />,D,
10,外邪由皮毛传入脏腑的途径，依次是<br />A 络脉→孙脉→经脉<br />B 孙脉→经脉→络脉<br />C 经脉→孙脉→络脉<br />D 络脉→经脉→孙脉<br />E 孙脉→络脉→经脉<br />,E,
11,加强十二经脉在体腔深部的联系的是<br />A 十二经筋<br />B 十二经别<br />C 十五别络<br />D 奇经八脉<br />E 孙络<br />,B,
12,经络的作用不正确的是<br />A 联系脏腑<br />B 运行气血<br />C 抗御病邪<br />D 营养全身<br />E 感知痛觉<br />,E,
13,经络学说的临床应用正确的是<br />A 指导辨证归经、针灸治疗<br />B 指导辨证论治<br />C 指导临床用药<br />D 指导用药剂量<br />E 指导辨别病变部位<br />,A,
14,腧穴可分为哪三大类<br />A 十二经穴、天应穴、阿是穴<br />B 十二经穴、奇穴、阿是穴<br />C 十四经穴、不定穴、阿是穴<br />D 十四经穴、奇穴、阿是穴<br />E 十二经穴、十四经穴、阿是穴<br />,D,
15,十四经穴是指<br />A 十二经脉、任脉、督脉的腧穴<br />B 十二经脉、任脉、带脉的腧穴<br />C 十二经脉、任脉、冲脉的腧穴<br />D 十二经脉的腧穴、奇穴、阿是穴<br />E 十二经脉、督脉的腧穴、阿是穴<br />,A,
16,有关阿是穴，叙述不正确的是<br />A 无固定位置<br />B 无固定名称<br />C 又称为压痛点<br />D 又称为天应穴<br />E 多数对某些病证有特殊疗效<br />,E,
