id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,导致感冒的主因是<br />A 寒邪<br />B 热邪<br />C 风邪<br />D 湿邪<br />E 暑邪<br />,C,
2,患者恶寒重，发热轻，无汗，头痛，肢体疼痛，鼻塞声重，时流清涕，喉痒，舌苔薄白而润，脉浮。其治法是<br />A 散寒解肌<br />B 辛温解表<br />C 调和营卫<br />D 散寒止痛<br />E 发汗解肌<br />,B,
3,患者身热，微恶风，汗少，肢体疫重，头昏重胀痛，咳嗽痰粘，鼻流浊涕，心烦，口渴，舌苔薄黄而腻，脉濡数。治疗应首选<br />A 银翘散<br />B 桑菊饮<br />C 新加香薷饮<br />D 桑白皮汤<br />E 藿香正气散<br />,C,
4,下列各项，除哪项外，均是内伤咳嗽的常见病因<br />A 情志刺激<br />B 饮食不节<br />C 过劳努伤<br />D 肺脏虚弱<br />E 久病伤阴<br />,C,
5,咳嗽喉痒，痰中带血，口干鼻燥，或身热，舌红少津苔薄黄，脉数。治疗应首选<br />A 桑杏汤<br />B 杏苏散<br />C 沙参麦冬汤<br />D 麦门冬汤<br />E 百合固金汤<br />,A,
6,患者，男，40岁。咳嗽气促，咳痰量多，痰质粘稠而黄，咯吐不爽，胸胁胀满，面赤身热，口干，舌红苔黄腻，脉滑数。治疗应首选<br />A 止嗽散<br />B 桑菊饮<br />C 二陈汤<br />D 清金化痰汤<br />E 加减泻白散<br />,D,
7,咳嗽痰少，痰中带血或反复咯血，血色鲜红，口干咽燥，颧红，潮热盗汗，舌质红，脉细数。治疗应首选<br />A 桑杏汤<br />B 杏苏散<br />C 沙参麦冬汤<br />D 麦门冬汤<br />E 百合固金汤<br />,D,
8,肺痈患者，咳吐大量脓血痰，气味腥臭异常，舌红苔黄腻，脉滑数。其病期是<br />A 初期<br />B 成痈期<br />C 溃脓期<br />D 恢复期<br />E 慢性期<br />,C,
9,哮证发作期的主要病机是<br />A 外邪侵袭，肺失宣降<br />B 肺失宣肃，肺气上逆<br />C 痰气搏结，气道被阻<br />D 邪袭于肺，肺气不利<br />E 肺脏虚弱，气失所主<br />,C,
