id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,按十二经脉的流注次序，小肠经流注于______<br />A 膀胱经<br />B 胆经<br />C 三焦经<br />D 心经<br />E 胃经<br />,A,
2,绕阴器的经脉是______<br />A 足厥阴经<br />B 手厥阴经<br />C 足少阴经<br />D 手太阴经<br />E 足太阴经<br />,A,[解析] 足厥阴肝经在内踝上8寸处交出足太阴脾经之后，上行过膝内侧，沿大腿内侧中线进入阴毛中。绕阴器，至小腹，挟胃两旁，属肝。
3,三焦经在上肢的循行部位是______<br />A 外侧前缘<br />B 内侧中线<br />C 外侧后缘<br />D 内侧前缘<br />E 外侧中线<br />,E,[解析] 太阴、阳明在前缘；厥阴、少阳在中线；少阴、太阳在后缘；阴经行于内侧，阳经行于外侧，手少阳三焦经，在外侧中线。
4,奇经八脉中既称“血海”又称“十二经脉之海”者是______<br />A 冲脉<br />B 任脉<br />C 督脉<br />D 带脉<br />E 阳维脉<br />,A,
5,最易导致病位游走不定的外邪是______<br />A .暑<br />B .燥<br />C .湿<br />D .风<br />E .寒<br />,D,[解析] 风邪，轻扬开泄，易袭阳位，风性善行而数变，主动，风为百病之长。
6,最易导致疼痛的外邪是______<br />A .风<br />B .寒<br />C .暑<br />D .燥<br />E .湿<br />,B,[解析] 寒性凝滞，最易导致疼痛的发生。
7,可致“首如裹”的邪气是______<br />A .风<br />B .寒<br />C .暑<br />D .湿<br />E .火<br />,D,[解析] 湿为阴邪，易阻遏气机，损伤阳气，湿性重浊，湿性黏滞。
8,六淫邪气中，具有“阻遏气机”特点的是______<br />A .风<br />B .暑<br />C .湿<br />D .寒<br />E .火<br />,C,
9,下列哪项是火邪、燥邪、暑邪共同的致病特点______<br />A 耗气<br />B 上炎<br />C 伤津<br />D 动血<br />E 生风<br />,C,
10,七情刺激，易导致心气涣散的是______<br />A .喜<br />B .怒<br />C .悲<br />D .恐<br />E .惊<br />,A,[解析] 喜则气缓指过度喜乐，致使心气涣散甚则心气暴脱或神不守舍的病机变化。
11,能缓和拘急疼痛的药物大多具有的药味是______<br />A 苦味<br />B 成味<br />C 辛味<br />D 甘味<br />E 酸味<br />,D,[解析] 甘有补益、和中、凋和药性和缓急止痛的作用。
12,使用化痰药治疗癫痫惊厥者，最常配伍的是______<br />A 清热、消食药<br />B 平肝息风、安神药<br />C 安神、理气药<br />D 安神、泻下药<br />E 补虚、消食药<br />,B,[解析] 使用化痰药治疗癫痫、惊厥、眩晕、昏迷者，最常配伍平肝息风、开窍、安神药。
13,人参配莱菔子在药物七情配伍关系中属______<br />A 相使<br />B 相畏<br />C 相杀<br />D 相反<br />E 相恶<br />,E,[解析] 相恶，一种药物破坏另一种药物的功效。莱菔子能削弱人参的补气作用。
14,孕妇应慎用的药物是______<br />A 金银花<br />B 连翘<br />C 牛黄<br />D 鱼腥草<br />E 蒲公英<br />,C,[解析] 牛黄使用注意：非实热证不宜使用，孕妇慎用。
