id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,有头疽切开时常用切口<br />A 顺皮纹切口<br />B 弧形切口<br />C 纵行<br />D 横行<br />E “十”字形<br />,E,
2,有头疽初起症状多见<br />A 粟粒样脓头<br />B 蜂窝状脓头<br />C 肿硬如钉丁之状<br />D 漫肿无头<br />E 光软无头<br />,A,
3,有头疽的整个病程为<br />A 1周<br />B 2周<br />C 3周<br />D 4周<br />E 5周<br />,D,
4,流注的特点是<br />A 发病缓慢<br />B 红肿热痛<br />C 不易走窜<br />D 好发于四肢、躯干肌肉<br />E 难消难溃<br />,D,
5,流注的病因病机是<br />A 风温毒邪凝结经络<br />B 风温湿邪蕴结皮肤<br />C 火邪侵犯，血分有热，郁于皮肤<br />D 经络阻塞，气血凝滞<br />E 暑湿热毒流注肌间<br />,D,
6,治疗流注余毒攻窜证的药方是<br />A 黄连解毒汤<br />B 清暑汤<br />C 活血化瘀汤<br />D 竹叶黄芪汤<br />E 普济消毒饮<br />,A,
7,丹毒的中医治疗原则以下哪一个最恰当<br />A 清热解毒<br />B 利湿解毒<br />C 活血祛瘀<br />D 清热凉血解毒<br />E 健脾利湿消肿<br />,D,
8,丹毒的主要病因病机是<br />A 风温夹痰凝结经络<br />B 风温湿热蕴结肌肤<br />C 火邪侵犯，血分有热，郁于肌肤<br />D 经络阻塞，气血凝滞<br />E 暑湿热毒流注肌间<br />,C,
9,最易引起小腿丹毒的是<br />A 足部挫伤<br />B 脱疽<br />C 足癣糜烂<br />D 足部疔疮<br />E 下肢静脉曲张<br />,C,
10,新生儿丹毒称<br />A 赤游丹<br />B 抱头火丹<br />C 流火<br />D 阿发丹毒<br />E 腿游风<br />,A,
11,头面部丹毒首选<br />A 银翘散<br />B 黄连解毒汤<br />C 普济消毒饮<br />D 仙方活命饮<br />E 五味消毒饮<br />,C,
12,局部原发病灶忽然疮顶陷黑无脓，肿势软漫，护场消失。应考虑<br />A 内陷<br />B 走黄<br />C 发厥<br />D 流痰<br />E 附骨疽<br />,B,
13,以下哪种疔疮一般不并发走黄<br />A 烂疔<br />B 颜面部疔疮<br />C 红丝疔<br />D 蛇眼疔<br />E 托盘疔<br />,D,
14,疔疮走黄的内治法则是<br />A 凉血清热解毒<br />B 泄热解毒通便<br />C 气营两清解毒<br />D 滋阴清热解毒<br />E 扶正祛邪解毒<br />,A,
15,三陷证中之干陷型多发生于疽证第几候<br />A 1～2候<br />B 3～4候<br />C 2～3候<br />D 4候<br />E 2候<br />,C,
16,三陷证中之虚陷型多发生于疽证第几候<br />A 2候<br />B 1～2候<br />C 2～3候<br />D 4候<br />E 3～4候<br />,D,
17,内陷发生的根本原因是<br />A 火毒炽盛<br />B 正气内虚，火毒炽盛<br />C 经络阻塞，气血凝滞<br />D 热盛肉腐<br />E 阴阳偏胜<br />,B,
18,火陷形成的主要原因是<br />A 火毒炽盛<br />B 阴液不足<br />C 气血亏虚<br />D 脾肾阳虚<br />E 肺卫不固<br />,B,
1,8月上旬，一男性儿童前额部出现2个红肿结块，约2cm×2cm，中央有一个脓头未溃，疼痛拒按，伴口渴便秘，尿短赤。应选用<br />A 五味消毒饮<br />B 仙方活命饮<br />C 清暑汤<br />D 防风通圣散<br />E 黄连解毒汤<br />,C,
2,某男，60岁，患糖尿病6年，半年来项部近发际处，经常出现红肿块，灼热疼痛，出脓后即愈合，触之突起根浅，服用消炎药，无明显效果，常口渴唇燥，舌红苔薄，脉细数。中医诊断为<br />A 有头疖<br />B 无头疖<br />C 蝼蛄疖<br />D 疖病<br />E 粉刺<br />,D,
3,病人鼻翼右侧有一枚粟粒样脓头，麻痒并作，红肿热痛，顶突根深坚硬，舌红，苔薄黄，脉滑数。治则应为<br />A 清热解毒，和营托毒<br />B 清热利湿，和营消肿<br />C 散风清热，化痰消肿<br />D 清热解毒<br />E 和营托毒，清热利湿<br />,D,
