front,back
<h1 style='text-align:center'>{{front}}</h1>,<h1 style='font-weight: normal;text-align:center;'>{{back}}</h1>
“J” SHAPED POCKET,J形袋
24L BUTTON,24号钮
6 FEED PIQUE,6模珠地
ACCESSORY,辅料
BACK ACROSS,后背宽
ACROSS MEASURE,横量
ACRYLIC,腈纶
ADHESIVE / FUSIBLE INTERLINING,粘衬
ANTIQUE BRASS COATING,镀青古铜
ANTISTATIC FINISH,防静电处理
APPAREL,成衣
APPEALING LOOK,吸引人的外表
APPROVAL SAMPLE,批办
APPROVED SAMPLE WITH SIGNING NAME,签名批办
ARMHOLE,夹圈
ASSEMBLING OF FRONT &#38; BACK PART,前后幅合并
ASSEMBLING SECTION,合并部分
ATTACH COLLAR,上领
ATTACH LABEL,上商标
ATTACHMENT,（车缝）附件
BACK COVER FRONT,后搭前
BACK MID-ARMHOLE,后背宽
BACK STITCH,返针，回针
BACKLESS DRESS,露背装
BAR CODED STICKER,条形码贴纸
BARGAINING,讨价还价
BAR-TACK,打枣
BASTE,假缝
BATILK,蜡染
BEARER,袋衬
BEARER &#38; FACING,袋衬袋贴
BEDFORD CORD.,坑纹布，经条灯心绒
BELL BOTTOM,喇叭裤脚
BELLOWS POCKET,风琴袋
BELT,腰带
BELT-LOOP,裤耳
BIAS CUT,斜纹裁，纵纹裁
BIFURCATE,分叉
BINDER,包边蝴蝶，滚边蝴蝶
BINDING,包边
BINDING OF SLV. OPENING,R折
BINDING OF TOP VENT,面叉包边
BINDING TAPE,包边
BINDING/BOUND,滚条
BLANKET,毛毯，地毯
BLEACH,漂白
BLEACH SPOT,漂白污渍
BLEEDING,洗水后褪色
BLEND FIBRE,混纺纤维
BLENDS,混纺
BLIND STITCH,挑脚线步
BLOUSE,女装衬衫
BODY PRESSING,衫身熨烫
BODY RISE,直浪
BOTTOM,衫脚，下摆
BOTTOM VENT OF SLEEVE,细侧
BOTTOMS,下装
BOX-PLEATED,外工字褶
BOY'S STYLE FLY / LEFT FLY,男装钮牌，左钮牌
BRAID,织锦，织带
BRANCH,分公司
BREAK STITCHES,断线
BRIEFS,男装紧身内裤
BROCADE,织锦，织带
BROKEN STITCHING,断线
BUBBLING,起泡
BUCKLE,皮带扣
BUCKLE-LOOP,皮带扣
BULK PRODUCTION,大量生产
BUNDLE CODE,扎号
BUNDLING,执扎
BUTTON,钮扣
BUTTON STAND,钮门搭位
BUTTON-HOLE ,钮门/扣眼
BUTTON-HOLING,开钮门
BUTTONING,钉钮
BUTTONING WITH BUTTON SEWER,用钉钮机钉钮
C/B VENT,后中叉
CALICO / GRAY CLOTHES,胚布
