front,back,method,rx,cat,detail
{{detail}},{{front}}<br />{{cat}}{{back}}<br />{{method}}<br /><span style='color:#DF0101;font-weight:bold;'>{{rx}}</span>
感冒,风寒感冒,辛温解表,荆防达表汤或荆防败毒散,常人感冒,恶寒重，发热轻，无汗，头痛，肢节酸疼，鼻塞声重，或鼻痒喷嚏，时流清涕，咽痒，咳嗽，咳痰稀薄色白，口不渴或渴喜热饮，舌苔薄白而润，脉浮或浮紧
感冒,风热感冒,辛凉解表,银翘散或葱豉桔梗汤,常人感冒,身热较著，微恶风，汗泄不畅，头胀痛，面赤，咳嗽，痰黏或黄，咽燥，或咽喉乳蛾红肿疼痛，鼻塞，流黄浊涕，口干欲饮，舌苔薄白微黄，舌边尖红，脉浮数。
感冒,暑湿感冒,清暑祛湿解表,新加香薷饮,常人感冒,夏季，身热，微恶风，汗少，身热不扬，身重倦怠，肢体酸重或疼痛，头昏重胀痛，咳嗽痰黏，鼻流浊涕，心烦口渴，或口中黏腻，渴不多饮，胸闷脘痞，泛恶，腹胀，大便或溏，小便短赤，舌苔薄黄而腻，脉濡数。
感冒,气虚感冒,益气解表,参苏饮,虚体感冒,素体气虚，恶寒较甚，发热，无汗，头痛身楚，咳嗽，痰白，咳痰无力，平素神疲体弱，气短懒言，反复易感，舌淡苔白，脉浮而无力。
感冒,阴虚感冒,滋阴解表,加减葳蕤汤,虚体感冒,身热，微恶风寒，少汗，头昏，心烦，口干咽燥，干咳少痰，舌红少苔，脉细数。
咳嗽,风寒袭肺,疏风散寒，宣肺止咳,三拗汤合止嗽散,外感咳嗽,咳声重浊，气急，咽痒，咳痰稀薄色白，常伴鼻塞，流清涕，头痛，肢体酸楚，或见恶寒、发热、无汗等风寒表证，舌苔薄白，脉浮或浮紧。
咳嗽,风热犯肺,疏风清热，宣肺止咳,桑菊饮,外感咳嗽,咳嗽频剧，气粗或咳声嘶哑，喉燥咽痛，咳痰不爽，痰黏稠或黄，咳时汗出，常伴鼻流黄涕，口渴，头痛，身楚，或见恶风、身热等风热表证，舌苔薄黄，脉浮数或浮滑。
咳嗽,风燥伤肺,疏风清肺，润燥止咳,桑杏汤,外感咳嗽,干咳，连声作呛，喉痒，咽喉干痛，唇鼻干燥，无痰或痰少而黏，不易咯出，或痰中带有血丝，口干，初起或伴鼻塞、头痛、微寒、身热等表证，舌质红干而少津，苔薄白或薄黄，脉浮数或小数。
咳嗽,痰湿蕴肺,燥湿化痰，理气止咳,二陈平胃散合三子养亲汤,内伤咳嗽,咳嗽反复发作，咳声重浊，痰多，因痰而嗽，痰出咳平，痰黏腻或稠厚成块，色白或带灰色，每于早晨或食后则咳甚痰多，进甘甜油腻食物加重，胸闷脘痞，呕恶食少，体倦，大便时溏，舌苔白腻，脉象濡滑。
咳嗽,痰热郁肺,清热肃肺，豁痰止咳,清金化痰汤,内伤咳嗽,咳嗽，气息粗促，或喉中有痰声，痰多质黏厚或稠黄，咯吐不爽，或咯血痰，胸胁胀满，咳时引痛，面赤，或有身热，口干而黏，欲饮水，舌质红，舌苔薄黄腻，脉滑数。
咳嗽,肝火犯肺,清肺泻肝，顺气降火,黛蛤散合黄芩泻白散,内伤咳嗽,咳嗽呈阵发性，表现为上气咳逆阵作，咳时面赤，咽干口苦，常感痰滞咽喉而咯之难出，量少质黏，或如絮条，胸胁胀痛，咳时引胸胁痛，症状可随情绪波动而增减，舌红或边红，苔薄黄少津，脉弦数。
咳嗽,肺阴亏耗,滋阴润肺，化痰止咳,沙参麦冬汤,内伤咳嗽,干咳，咳声短促，痰少黏白，或痰中带血丝，或声音逐渐嘶哑，口干咽燥，或午后潮热，颧红，盗汗，日渐消瘦，神疲，舌质红少苔，脉细数。
哮病,冷哮,宣肺散寒，化痰平喘,射干麻黄汤,发作期,喉中哮鸣如水鸡声，呼吸急促，喘憋气逆，胸膈满闷如塞，咳不甚，痰少咯吐不爽，色白而多泡沫，口不渴或渴喜热饮，形寒怕冷，天冷或受寒易发，面色青晦，舌苔白滑，脉弦紧或浮紧。
哮病,热哮,清热宣肺，化痰定喘,定喘汤,发作期,喉中痰鸣如吼，喘而气粗息涌，胸高胁胀，咳呛阵作，咳痰色黄或白，黏浊稠厚，排吐不利，口苦，口渴喜饮，汗出，面赤，或有身热，甚至有好发于夏季者，舌苔黄腻，质红，脉滑数或弦滑。
