front,back,classi,method,rx,cat,detail,diff,id2
题号({{front}} {{id2}}) {{detail}}<br />鉴别 <span style='color:#DF0101;'>{{diff}}</span>,{{back}}<br />{{cat}} {{classi}}<br />{{method}}<br /><span style='color:#DF0101;font-weight:bold;'>{{rx}}</span>
1,感冒,风寒感冒,辛温解表,荆防达表汤或荆防败毒散,常人感冒,恶寒重，发热轻，无汗，头痛，肢节酸疼，鼻塞声重，或鼻痒喷嚏，时流清涕，咽痒，咳嗽，咳痰稀薄色白，口不渴或渴喜热饮，舌苔薄白而润，脉浮或浮紧,时行感冒,
1,肠痈,湿热证,通腑泄热，解毒利湿透脓,复方大柴胡汤,,腹痛加剧，右下腹或全腹压痛、反跳痛，腹皮挛急，右下腹可摸及包块，壮热，纳呆，恶心呕吐，便秘或腹泻；舌红，苔黄腻，脉弦数或滑数,宫外孕破裂,46
2,感冒,阴虚感冒,滋阴解表,加减葳蕤汤,虚体感冒,身热，微恶风寒，少汗，头昏，心烦，口干咽燥，干咳少痰，舌红少苔，脉细数。,,
2,痔,气滞血瘀,清热利湿，行气活血,止痛如神汤,内治,肛内肿物脱出，甚或嵌顿，肛管紧缩，坠胀疼痛，甚则内有血栓形成，肛缘水肿，触痛明显，舌质红，苔白，脉弦细涩,肛乳头肥大,47
3,咳嗽,风热犯肺,疏风清热，宣肺止咳,桑菊饮,外感咳嗽,咳嗽频剧，气粗或咳声嘶哑，喉燥咽痛，咳痰不爽，痰黏稠或黄，咳时汗出，常伴鼻流黄涕，口渴，头痛，身楚，或见恶风、身热等风热表证，舌苔薄黄，脉浮数或浮滑。,喘证,
3,脱疽,寒湿阻络,温阳散寒，活血通络,阳和汤,,患趾（指）喜暖怕冷，麻木，酸胀疼痛，多走疼痛加剧，稍歇痛减，皮肤苍白，触之发凉，趺阳脉搏动减弱；舌淡，苔白腻，脉沉细,雷诺病,48
4,咳嗽,痰湿蕴肺,燥湿化痰，理气止咳,二陈平胃散合三子养亲汤,内伤咳嗽,咳嗽反复发作，咳声重浊，痰多，因痰而嗽，痰出咳平，痰黏腻或稠厚成块，色白或带灰色，每于早晨或食后则咳甚痰多，进甘甜油腻食物加重，胸闷脘痞，呕恶食少，体倦，大便时溏，舌苔白腻，脉象濡滑。,肺痨,
4,肠痈,热毒证,通腑排脓，养阴清热,大黄牡丹汤合透脓散,,腹痛剧烈，全腹压痛、反跳痛，腹皮挛急，高热不退，或恶寒发热，时时汗出，烦渴，恶心呕吐，腹胀，便秘或似痢不爽，舌红绛而干，苔黄厚干燥或黄糙，脉洪数或细数,胃十二指肠溃疡穿孔,49
5,哮病,冷哮,宣肺散寒，化痰平喘,射干麻黄汤,发作期,喉中哮鸣如水鸡声，呼吸急促，喘憋气逆，胸膈满闷如塞，咳不甚，痰少咯吐不爽，色白而多泡沫，口不渴或渴喜热饮，形寒怕冷，天冷或受寒易发，面色青晦，舌苔白滑，脉弦紧或浮紧。,喘证,
5,痔,脾虚气陷,补中益气，升阳举陷,补中益气汤,内治,肛门松弛，内痔脱出不能自行回纳，需用手法还纳，便血色鲜或淡，伴头晕气短，面色少华，神疲自汗，纳少便溏等，舌淡，苔薄白，脉细弱,脱肛,50
6,哮病,肺脾气虚,健脾益气，补土生金,玉屏风散合六君子汤,缓解期,有哮喘反复发作史，气短声低，自汗，怕风，常易感冒，倦怠无力，食少便溏，或喉中时有轻度哮鸣，痰多质稀，色白，舌质淡，苔白，脉细弱 ,,
