id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,既能清热泻火，又能除烦止渴的药物是：<br />A 夏枯草<br />B 决明子<br />C 蔓荆子<br />D 石膏<br />E 柴胡<br />,D,
2,既能生津止渴，又能滋阴润燥的药物是：<br />A 石膏<br />B 芦根<br />C 知母<br />D 葛根<br />E 决明子<br />,C,
3,石膏的性味是：<br />A 辛、甘，温<br />B 甘、苦，温<br />C 苦、辛，大寒<br />D 甘、辛，大寒<br />E 甘、咸，寒<br />,D,
4,芦根具有的功效是：<br />A 除烦、止呕、利尿<br />B 除烦、止泻、利尿<br />C 泻火、止泻、利尿<br />D 泻火、止汗、生津<br />E 清热、燥湿、止呕<br />,A,
5,既能生津止渴，又能又能消肿排脓的药物是：<br />A 石膏<br />B 天花粉<br />C 知母<br />D 牛蒡子<br />E 菊花<br />,B,
6,淡竹叶具有的功效是:<br />A 清热泻火、滋阴<br />B 除烦止渴、凉血<br />C 清热燥湿、利尿<br />D 生津润燥、除烦<br />E 清热泻火、利尿<br />,E,
7,既能清热利湿，又能凉血解毒的药物是：<br />A 栀子<br />B 芦根<br />C 淡竹叶<br />D 天花粉<br />E 知母<br />,A,
8,夏枯草具有的功效是：<br />A 散结消肿<br />B 润肠通便<br />C 祛风明目<br />D 疏散风热<br />E 清热利湿<br />,A,
9,黄芩具有的功效是：<br />A 消肿排脓<br />B 泻火除蒸<br />C 清肺祛痰<br />D 清肝明目<br />E 清热燥湿<br />,E,
10,既能泻火解毒&#44;又能清热安胎的药物是:<br />A 紫苏<br />B 栀子<br />C 黄芩<br />D 黄柏<br />E 菊花<br />,C,
11,善去脾胃大肠湿热&#44;为治湿热泻痢要药的是:<br />A 黄芩<br />B 葛根<br />C 黄柏<br />D 苦参<br />E 黄连<br />,E,
12,功能泻火解毒&#44;善治疔疮的药物是:<br />A 菊花<br />B 黄连<br />C 天花粉<br />D 栀子<br />E 夏枯草<br />,B,
