id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,我国现存最早的医学专著是<br />A 《五十二产病方》<br />B 《神农本草经》<br />C 《黄帝内经》<br />D 《中藏经》<br />E 《伤寒论》<br />,C,
2,中医四大经典著作是<br />A 《黄帝内经》、《神农本草经》、《伤寒论》、《金匮要略》<br />B 《黄帝内经》、《伤寒论》、《类经》、《难经》<br />C 《素问》、《灵枢》、《神农本草经》、《伤寒论》<br />D 《黄帝内经》、《类经》、《难经》、《脉经》<br />E 《素问》、《灵枢》、《神农本草经》、《中藏经》<br />,A,
3,中医理论体系的主要特点是<br />A 急则治标、缓则治本<br />B 辨病与辨证相结合<br />C 整体观念和辨证论治<br />D 异病同治和同病异治<br />E 以上都不是<br />,C,
4,中医精气神学说中&#34;神&#34;的含义是指<br />A 人体生命活动的主宰<br />B 人的精神意识<br />C 人体生命的基本物质<br />D 人体生命活动的动力<br />E 以上都不是<br />,A,
5,中医精气神学说的&#34;精 &#34; 是指<br />A 先天之精<br />B 水谷之精<br />C 气、血、津、液<br />D 肾中所藏之精<br />E 以上都不是<br />,D,
6,阴阳学说较准确的说法是<br />A 中医的经典理论<br />B 我国古代的一种哲学思想<br />C 对立统一的世界观<br />D 唯物论<br />E 我国古代朴素的唯物论和自发的辨证法思想<br />,E,
7,事物阴阳两个方面的相互转化是<br />A 量的变<br />B 单方面的<br />C 有条件的<br />D 绝对的<br />E 必然的<br />,C,
8,《内经》:&#34;阴在内&#44;阳之守也&#44;阳在外&#44;阴之使也&#34;是说明阴阳之间的<br />A 相互转化<br />B 相生相克<br />C 相互对立<br />D 互根互用<br />E 消长平衡<br />,D,
9,以下哪种情况最易说明阴消阳长的相互转化:<br />A 一种能量转变成另一种能量<br />B 水变成冰<br />C 内转变为外<br />D 云转为雨<br />E 物质转化为精神<br />,E,
10,根据&#34;诸寒之而热者取之阴&#34;的法则&#44;治宜:<br />A 热者寒之<br />B 寒者热之<br />C 壮水制火<br />D 益火消阴<br />E 以上都不是<br />,C,
11,病先见持续高热&#44;面红目赤&#44;后突然见 肢厥面白&#44;脉微欲绝&#44;证属<br />A 阳消阴长<br />B 阳胜则热<br />C 阴盛则寒<br />D 寒极生热<br />E 重阳必阴<br />,E,
12,&#34;重阴必阳&#34;、&#34;重阳必阴&#34;属于<br />A 阴阳的互根<br />B 阴阳的对立<br />C 阴阳的转化<br />D 阴阳的消长<br />E 阴阳的相互制约<br />,C,
13,中医学整体观念的内涵是：（ ）<br />A 人体是一个有机的整体<br />B 自然界是一个整体<br />C 时令、晨昏与人体阴阳相应<br />D 五脏与六腑是一个有机整体<br />E 人体是一个有机整体，人与自然相统一<br />,E,
14,&#34;证候&#34;不包括：（ ）<br />A 四诊检查所得<br />B 内外致病因素<br />C 疾病的特征<br />D 疾病的性质<br />E 疾病的全过程<br />,E,
15,事物或现象阴阳属性的征兆是：（ ）<br />A 寒热<br />B 上下<br />C 水火<br />D 晦明<br />E 动静<br />,C,
16,阴阳的相互转化是：（ ）<br />A 绝对的<br />B 有条件的<br />C 必然的<br />D 偶然的<br />E 量变<br />,B,
17,&#34;见肝之病，知肝传脾&#34;的病机传变是：（ ）<br />A 木克土<br />B 木乘土<br />C 土侮木<br />D 母病及子<br />E 子病犯母<br />,A,
18,下列哪项在心主血脉中起关键作用：（ ）<br />A 心血充盈<br />B 心气充沛<br />C 心神安宁<br />D 心搏如常<br />E 脉道通利<br />,A,
19,说&#34;肺为娇脏&#34;的主要依据是：（ ）<br />A 肺主一身之气<br />B 肺外合皮毛<br />C 肺朝百脉<br />D 肺为水之上源<br />E 肺气通于天，不耐寒热<br />,E,
20,&#34;脾主升清&#34;的确切内涵是：（ ）<br />A 脾的阳气主升<br />B 脾以升为健<br />C 脾气散精，上归于肺<br />D 与胃的降浊相对而言<br />E 输布津液，防止水湿内生<br />,C,
21,下列关于五脏所藏的叙述，错误的是：（ ）<br />A 心藏神<br />B 肝藏魂<br />C 肺藏魄<br />D 脾藏意<br />E 肾藏智<br />,E,
22,与气虚关系最密切的脏腑是：（ ）<br />A 心、肺<br />B 肺、脾<br />C 肺、肾<br />D 脾、胃<br />E 肝、肺<br />,B,
23,下列关于五脏外合五体的叙述，错误的是：（ ）<br />A 心合脉<br />B 肝合爪<br />C 脾合肉<br />D 肺合皮<br />E 肾合骨<br />,B,
