id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,善治阳明经眉棱骨痛的药物是<br />A 连翘<br />B 细辛<br />C 白芷<br />D 蔓荆子<br />E 柴胡<br />,C,
2,下列既治风寒头痛，又能治疗鼻渊的药物是<br />A 细辛<br />B 麻黄<br />C 荆芥<br />D 藿香<br />E 薄荷<br />,A,
3,下列何药尤善治腰以上风寒湿痹<br />A 羌活<br />B 独活<br />C 桑枝<br />D 桂枝<br />E 防风<br />,A,
4,治气虚下陷，脱肛子宫脱垂等证，黄芪宜配<br />A 人参、白术<br />B 葛根、甘草<br />C 柴胡、升麻<br />D 麻黄、枳壳<br />E 大黄、芒硝<br />,C,
5,下列哪组药物是辛凉解表药<br />A 薄荷、桑叶、荆芥<br />B 蝉衣、柴胡、菊花<br />C 柴胡、淡豆豉、防风<br />D 牛蒡子、苍耳子、升麻<br />E 蔓荆子、辛夷、葛根<br />,B,
6,姜汁炮炙药物的目的是<br />A 加强药物的止呕作用<br />B 加强药物的化痰作用<br />C 加强药物的止痛效果<br />D 消除药物的刺激性<br />E 消除药物的腥臭气味<br />,A,
7,心阳不振、心悸、脉结代者当用<br />A 桂枝配白芍<br />B 桂枝配附子<br />C 桂枝配茯苓<br />D 桂枝配大枣<br />E 桂枝配甘草<br />,E,
8,柴胡、薄荷均具有的功效是<br />A 疏肝解郁<br />B 理气调中<br />C 化湿行气<br />D 消积行气<br />E 发散风寒<br />,A,
9,菊花的作用是<br />A 生津止渴<br />B 胜湿止痛<br />C 止血<br />D 疏风散寒<br />E 平肝明目<br />,E,
10,白芷的功效是<br />A 疏散风热<br />B 消肿排脓<br />C 透疹<br />D 行气宽中<br />E 胜湿止痛<br />,B,
11,石膏的功效是<br />A 滋阴润燥<br />B 除烦止渴<br />C 生津利尿<br />D 消肿生肌<br />E 燥湿解毒<br />,B,
12,治疗口舌生疮、小便短赤首选<br />A 茯苓<br />B 滑石<br />C 竹叶<br />D 芦根<br />E 浮萍<br />,C,
13,下列哪项不是栀子的功效<br />A 凉血止血<br />B 泻火除烦<br />C 利湿退黄<br />D 清退虚热<br />E 解毒消肿<br />,D,
14,下列哪项不是知母的功效<br />A 清热泻火<br />B 清热解毒<br />C 滋阴清热<br />D 清退虚热<br />E 滋肺胃肾阴<br />,B,
15,治疗胎热不安首选<br />A 黄连<br />B 栀子<br />C 黄芩<br />D 紫苏<br />E 黄柏<br />,C,
16,赤芍的功效是<br />A 养阴生津<br />B 凉血补血<br />C 解毒养阴<br />D 凉血祛瘀<br />E 清心安神<br />,D,
17,善祛中焦湿热、泻心胃火毒的药是<br />A 黄连<br />B 栀子<br />C 黄芩<br />D 龙胆草<br />E 黄柏<br />,A,
18,治疗阴虚发热，骨蒸盗汗首选<br />A 栀子<br />B 石膏<br />C 黄柏<br />D 黄连<br />E 玄参<br />,C,
19,下列哪项不是生地黄的功效<br />A 凉血<br />B 养阴<br />C 生津<br />D 退虚火<br />E 解毒<br />,E,
20,下列药物中，宜煎煮人药的是<br />A 牛黄<br />B 石膏<br />C 芒硝<br />D 青黛<br />E 甘遂<br />,B,
21,下列哪项不是牛黄的功效<br />A 清热解毒<br />B 熄风止痉<br />C 清热燥湿<br />D 化痰开窍<br />E 清心醒神<br />,C,
22,有“疮家圣药”之称的药物是<br />A 连翘<br />B 金银花<br />C 蒲公英<br />D 紫花地丁<br />E 黄连<br />,A,
23,既能治疗热毒疮疡，又能治疗风热外感的药物是<br />A 黄连<br />B 蒲公英<br />C 牛黄<br />D 桑叶<br />E 金银花<br />,E,
24,下列哪项不治虚热<br />A 白薇<br />B 青蒿<br />C 银柴胡<br />D 牡丹皮<br />E 柴胡<br />,E,
25,治疗乳痈腹痛首选<br />A 蒲公英<br />B 鱼腥草<br />C 败酱草<br />D 紫花地丁<br />E 板蓝根<br />,A,
26,欲用大黄攻下宜<br />A 先煎<br />B 酒制<br />C 后下<br />D 炒炭<br />E 制熟<br />,C,
27,下列哪项不是大黄的功效<br />A 泻下攻积<br />B 清热泻火<br />C 清热解毒<br />D 活血祛瘀<br />E 清肺化痰<br />,E,
28,芒硝的功效是<br />A 软坚泻下<br />B 泻下寒积<br />C 养血润肠<br />D 养阴通便<br />E 壮阳通便<br />,A,
29,巴豆内服的用量是<br />A 0.1～0.3g<br />B 0.5~1g<br />C 1.5～3g<br />D 3~5g<br />E 5～10g<br />,A,
30,醋制甘遂的目的是<br />A 增强止痛功能<br />B 引经入药<br />C 便于储存<br />D 矫味<br />E 减低毒性<br />,E,
31,祛风湿兼可解表的药物是<br />A 秦艽<br />B 木瓜<br />C 防己<br />D 独活<br />E 络石藤<br />,D,
32,寒湿痹痛，腰以下明显者，最佳选药是<br />A 防己<br />B 威灵仙<br />C 独活<br />D 羌活<br />E 木瓜<br />,C,
