id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,重度脑挫伤后出现高热，其原因主要为<br />A 无菌性坏死物质吸收<br />B 自主神经功能紊乱<br />C 感染性发热<br />D 体温调节中枢功能失常<br />E 内分泌、代谢障碍<br />,D,
2,属感染性发热的病因是<br />A 风湿热<br />B 血清病<br />C 白血病<br />D 类风湿关节炎<br />E 流行性出血热<br />,E,
3,持续高热，体温39℃以上，24小时体温波动范围在1℃以内，称之为<br />A 稽留热<br />B 弛张热<br />C 间歇热<br />D 不规则热<br />E 回归热<br />,A,
4,下列引起阿斯综合征所表现的意识障碍是<br />A 脑出血<br />B 脑血栓形成<br />C 癫痫<br />D 心源性脑缺血<br />E 肝性脑病<br />,D,
5,轻刺激能唤醒，醒后能进行短简而正确的交谈的意识障碍属<br />A 嗜睡<br />B 昏睡<br />C 浅昏迷<br />D 中度昏迷<br />E 深昏迷<br />,A,
6,先出现意识障碍，后出现的发热常见于<br />A 流行性脑膜炎<br />B 败血症<br />C 流行性出血热<br />D 脑出血<br />E 休克性肺炎<br />,D,
7,昏迷伴双侧瞳孔大小不等见于<br />A 急性酒精中毒<br />B 有机磷中毒<br />C 吗啡中毒<br />D 低血糖昏迷<br />E 脑炎<br />,E,
8,引起抽搐的内因性中毒因素是<br />A 急性酒精中毒<br />B 肝性脑病<br />C 马钱子中毒<br />D 一氧化碳中毒<br />E 有机磷中毒<br />,B,
9,引起急性脑缺血，出现意识丧失、抽搐的疾病是<br />A 脑挫伤<br />B 脑炎<br />C 低血糖<br />D 病窦综合征<br />E 中毒性细菌性痢疾<br />,D,
10,抽搐不伴意识障碍见于<br />A 低血钙抽搐<br />B 脑炎<br />C 脑外伤<br />D 高血压脑病<br />E 肺性脑病<br />,A,
11,关于癫痫大发作的临床表现下列不正确的是<br />A 突然意识丧失<br />B 两眼上翻<br />C 全身抽搐<br />D 呼吸不规则或暂停<br />E 双侧瞳孔缩小<br />,E,
12,关于胸壁疾病引起的胸痛，下列不正确的是<br />A 疼痛部位固定于病变部位<br />B 带状疱疹小水疱，沿肋间神经分布<br />C 非化脓性肋软骨炎，局部皮肤红肿<br />D 肋间神经炎，疼痛沿神经分布<br />E 局部压痛明显<br />,C,
13,下列不是典型心绞痛的表现的是<br />A 常由劳累诱发<br />B 为压榨性<br />C 位于心前区或胸骨后<br />D 可放射到左肩、左前臂内侧<br />E 疼痛常持续15分钟以上<br />,E,
14,胸痛伴发热，咳铁锈样痰见于<br />A 肺炎链球菌肺炎<br />B 肺脓肿<br />C 肺癌<br />D 胸膜炎<br />E 肺梗死<br />,A,
15,胸痛伴进行性加重的吞咽困难见于<br />A 食管炎<br />B 食管癌<br />C 支气管肺癌<br />D 肺结核<br />E 结核性心包炎<br />,B,
16,下列呼吸困难常伴“三凹征”的是<br />A 吸气性呼吸困难<br />B 呼气性呼吸困难<br />C 心源性呼吸困难<br />D 血源性呼吸困难<br />E 中毒性呼吸困难<br />,A,
17,下列出现吸气性呼吸困难的是<br />A 喉头水肿<br />B 心源性哮喘<br />C 支气管哮喘<br />D 肺源性心脏病<br />E 肺梗死<br />,A,
18,混合性呼吸困难见于<br />A 气管异物<br />B 慢性支气管炎<br />C 重症肺炎<br />D 支气管哮喘<br />E 支气管哮喘<br />,C,
