id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,时行感冒与感冒风热证的区别点，关键在于______<br />A 恶寒的轻与重<br />B 发热的轻与重<br />C 咽喉肿痛与否<br />D 有无流行性<br />E 脉数与否<br />,D,
2,感冒属表寒里热者，其治法是______<br />A 清热生津，散寒解表<br />B 解表清里，宣肺泄热<br />C 辛温解表，宣肺泄热<br />D 解表清里，宣肺止咳<br />E 解表宣肺，泄热止咳<br />,B,[解析] 感冒属表寒里热者，应用麻黄和石膏解表清里，宣肺泄热。故选择B。
3,治疗咳嗽，应以治肺为主，还应注意______<br />A 肝、脾、肾<br />B 心、肝、肾<br />C 心、脾、肾<br />D 心、肝、脾<br />E 肝、胃、肾<br />,A,[解析] 咳嗽病变主脏在肺，与肝、脾有关，久则及肾。故选择A。
4,下列哪项不是外感咳嗽的主要特征______<br />A 起病较急<br />B 病程较短<br />C 实证多见<br />D 常伴卫表证<br />E 易反复发作<br />,E,[解析] 外感咳嗽多起病急，病程短，常伴恶寒发热等表证，实证多见。内伤咳嗽多为久病，常反复发作，病程较长，常伴有其他脏腑失调的症状，虚证为多。故选择E。
5,治疗哮病之虚哮证，应首选______<br />A 三子养亲汤<br />B 六君子汤<br />C 平喘固本汤<br />D 金水六君煎<br />E 金匮肾气丸<br />,C,[解析] 虚哮治法：补肺纳肾，降气化痰。代表方：平喘固本汤。故选择C。
6,喘证的病变部位在______<br />A 心、肺<br />B 肺、肾<br />C 心、肾<br />D 脾、肾<br />E 肺、脾<br />,B,[解析] 喘证的病位主要在肺和肾，涉及肝、脾。故选择B。
7,肺痨的外在致病因素是______<br />A 燥邪<br />B 痨虫<br />C 痰浊<br />D 疲血<br />E 水饮<br />,B,
8,治疗心悸心血不足证，应首选______<br />A 天王补心丹<br />B 安神定志丸<br />C 桂枝甘草龙骨牡蛎汤<br />D 归脾汤<br />E 朱砂安神丸<br />,D,[解析] 心悸心血不足证治法：补血养心，益气安神。代表方：归脾汤。心虚胆怯证用安神定志丸。阴虚火旺证用天王补心丹合朱砂安神丸，心阳不振证用桂枝甘草龙骨牡蛎汤合参附汤。故选择D。
9,治疗狂证痰热瘀结证，应首选______<br />A 顺气导痰汤<br />B 越鞠丸<br />C 生铁落饮<br />D 玻珀养心丹<br />E 癫狂梦醒汤<br />,E,[解析] 狂证痰热疲结证由气郁痰结、血气凝滞、瘀热互结、神窍被塞所致。治法：豁痰化瘀，调畅气血。代表方：癫狂梦醒汤加减。故选择E。
