id,front,back,detail
,<h2>{{front}}</h2>,<h2><span style='color:red;font-weight:bold;'>{{back}}</span></h2><span style='color:#C0C0C0'>题号{{id}} 看了{{count}}次</span><br />{{detail}},
1,藏象的基本含义是<br />A 五脏六腑的形象<br />B 内在组织器官的形象<br />C 五脏六腑和奇恒之府<br />D 藏于内的脏腑及表现于外的生理病理现象<br />E 以五脏为中心的整体观<br />,D,
2,藏与象之间的关系哪项是错的<br />A 藏变决定象变<br />B 藏决定象<br />C 象变反映藏变<br />D 象变决定藏变<br />E 象反映藏<br />,D,
3,五脏生理功能的特点是<br />A 传化物而不藏，实而不能满<br />B 藏精气而不泻，实而不能满<br />C 藏精气而不泻，满而不能实<br />D 传化物而不藏，满而不能实<br />E 虚实交替，泻而不藏<br />,C,
4,下列哪项不属于奇恒之腑：<br />A 脉<br />B 女子胞<br />C 三焦<br />D 胆<br />E 脑<br />,C,
5,机体的生长发育主要取决于：<br />A 血液的营养<br />B 津液的滋润<br />C 水谷精微的充养<br />D 肾中精气的充盈<br />E 心血的充盈<br />,D,
6,各脏阴阳的根本在于<br />A 肝<br />B 心<br />C 脾<br />D 肾<br />E 肺<br />,D,
7,天癸的产生主要取决于：<br />A 肾中精气的充盈<br />B 脾气的健运<br />C 肾阳的蒸腾气化<br />D 肝血的充足<br />E 肾阴的濡润滋养<br />,A,
8,促进性机能成熟的物质是：<br />A 肾精<br />B 肾气<br />C 血液<br />D 天癸<br />E 元气<br />,D,
9,成人牙齿松动，过早脱落的根本原因在于：<br />A 肾阳虚衰<br />B 肾阴亏乏<br />C 命门虚寒<br />D 肾精亏损<br />E 肾气不固<br />,D,
10,下列哪项属于肾阳虚的症状：<br />A 脉无力而迟缓<br />B 午后潮热<br />C 心烦不安<br />D 舌干红<br />E 阳事易兴<br />,A,
11,哪项不属“肾气不固”的临床表现：<br />A 小便失禁<br />B 早泄<br />C 浮肿<br />D 滑精<br />E 带下清稀而多<br />,C,
12,“水脏”是指：<br />A 肾<br />B 脾<br />C 肺<br />D 膀胱<br />E 三焦<br />,A,
13,《素问·水热穴论》称为“胃之关”的是：<br />A 脾<br />B 肾<br />C 贲门<br />D 幽门<br />E 魄门<br />,B,
