id,front,back,detail
,{{id}} {{front}},答案 <span style='color:red;font-weight:bold;'>{{back}}</span><br />{{detail}},<br />A1型题
1,<br />瘿的发病部位是<br />A 颈部<br />B 颈项<br />C 喉咙<br />D 项背<br />E 颈前结喉两侧,E,
2,<br />中医的“瘿”相当于西医的<br />A 颈部肿瘤<br />B 颈部淋巴结肿大<br />C 甲状腺疾病<br />D 甲亢<br />E 以上都不是,C,
3,<br />以下瘿病在古籍中没有记载的是<br />A 气瘿<br />B 肉瘿<br />C 石瘿<br />D 瘿痈<br />E 血瘿,D,
4,<br />颈前部位属何脉所主<br />A 冲脉<br />B 任脉<br />C 督脉<br />D 肝经<br />E 以上都不是,B,
5,<br />以下哪种不是治疗瘿病的含碘植物药<br />A 海带<br />B 黄药子<br />C 海藻<br />D 昆布<br />E 羊靥,E,
6,<br />诊断瘿病的重要体征是<br />A 肿块的位置<br />B 有无压痛<br />C 有无震颤<br />D 是否随吞咽上下移动<br />E 有无波动感,A,
7,<br />瘿病的治疗方法不包括<br />A 理气解郁<br />B 清热凉血<br />C 活血祛瘀<br />D 化痰软坚<br />E 调摄冲任,B,
8,<br />海藻玉壶汤主要用于治疗何种证型的瘿病<br />A 气滞血瘀<br />B 痰火郁结<br />C 痰凝<br />D 冲任失调<br />E 肝郁气滞,C,
9,<br />治疗气瘿应首选<br />A 海藻玉壶汤<br />B 四海舒郁丸<br />C 开郁散<br />D 逍遥散<br />E 桃红四物汤,B,
10,<br />气瘿漫肿，随喜怒消长，伴急躁易怒，善太息，证属<br />A 气滞血瘀<br />B 肝郁气滞<br />C 冲任不调<br />D 肝肾不足<br />E 痰浊凝结,B,
11,<br />下列病名与主方错误的是<br />A 热疮——辛夷清肺饮<br />B 缠腰火丹——龙胆泻肝汤<br />C 气瘿——四海舒郁丸<br />D 肉瘿——牛蒡解肌汤<br />E 乳衄——丹栀逍遥散,D,
12,<br />以下哪项不是肉瘿的特点<br />A 如肉之团<br />B 发展缓慢<br />C 柔韧而圆<br />D 漫肿质软<br />E 结喉一侧或两侧结块,D,
13,<br />肉瘿伴急躁易怒，汗出心悸，失眠多梦，消谷善饥，形体消瘦，手部震颤者证属<br />A 肝郁气滞<br />B 气滞痰凝<br />C 气阴两虚<br />D 肝肾不足<br />E 冲任失调,C,
14,<br />瘿痈局部疼痛明显，伴恶寒发热、头痛口干，脉浮数，其证属<br />A 肝郁气滞<br />B 风热痰凝<br />C 血瘀化热<br />D 痰瘀内结<br />E 气滞痰凝,B,
15,<br />石瘿相当于西医学的<br />A 甲状腺炎<br />B 甲状腺癌<br />C 甲状腺肿<br />D 甲状腺病<br />E 甲状腺瘤,B,
16,<br />肿物赘生于人体，坚硬如石，形状不规则的称之为<br />A .瘤<br />B .疽<br />C .疔<br />D .岩<br />E .疖,D,
17,<br />《医宗金鉴》没有下列哪种瘤的记载<br />A 肠瘤<br />B 肉瘤<br />C 筋瘤<br />D 气瘤<br />E 血瘤,A,
18,<br />瘤的特点没有下列哪一项<br />A 局限性肿块<br />B 生于体表<br />C 局部漫肿<br />D 发展缓慢<br />E 以上都不是,C,
19,<br />筋瘤的“筋”是指<br />A 肌腱<br />B 浅表静脉<br />C 筋膜<br />D 腱膜<br />E 经络,B,
20,<br />中医的岩相当于西医所说的<br />A 体表肿物<br />B 恶性肿瘤<br />C 体表恶性肿物<br />D 体内肿瘤<br />E 内脏肿瘤,C,
21,<br />下列哪项不是瘤和岩的病因病机<br />A 六淫之邪<br />B 情志郁结<br />C 脏腑失调<br />D 瘀血阻滞<br />E 饮食不节,D,
22,<br />下列各项中不属于岩的病因病机的是<br />A 情志郁结<br />B 六淫之邪<br />C 脏腑失调<br />D 饮食不节<br />E 感受特殊之毒,E,
23,<br />下列哪一项不是血瘤的特点<br />A 边界不清<br />B 触之如海绵状<br />C 柔软而局限<br />D 色泽鲜红或暗紫<br />E 盘曲如蚯蚓状,E,
24,<br />中医认为血瘤的发生与什么因素关系最密切<br />A 外伤<br />B .风<br />C .湿<br />D 外感<br />E .火,E,
25,<br />毛细血管瘤最显著的特点是<br />A 边界不清<br />B 瘤体巨大<br />C 质地坚硬<br />D 压缩性大<br />E 皮色鲜红,E,
26,<br />肉瘤相当于西医学的<br />A 脂肪肉瘤<br />B 骨骼肌肉瘤<br />C 脂肪瘤<br />D 纤维肉瘤<br />E 平滑肌肉瘤,C,
27,<br />相当于西医的恶性肿瘤颈部淋巴结转移的疾病是<br />A 茧唇<br />B 舌菌<br />C 失荣<br />D 颈痈<br />E 石瘿,C,
28,<br />下列哪项不是脂瘤的特点<br />A 好发于青春期<br />B 多见于头面部<br />C 肿块边界清楚<br />D 与皮肤粘连<br />E 一般无明显自觉症状,D,
